Search_Term,Product_Title,Selling_Price,MRP,Discount_Pct,Review_Count,Product_Link,Is_Grey_Market,Status,Price_Drop
first copy watches,EMPERO - Silver Stainless Steel Analog Men's Watch,311.0,1299.0,76.1,49,https://www.snapdeal.com/product/empero-silver-slim-model-stainless/639923546068,0,Legit / Authorized,988.0
first copy watches,Fadiso Fashion Gold Stainless Steel Analog Men's Watch,338.0,1499.0,77.5,1,https://www.snapdeal.com/product/fadiso-fashion-gold-stainless-steel/685047247068,0,Legit / Authorized,1161.0
first copy watches,Om Collection - Brown Leather Analog Men's Watch,323.0,1799.0,82.0,64,https://www.snapdeal.com/product/om-collection-brown-skt-leather/638827295067,1,Suspicious / Grey Market,1476.0
first copy watches,PIRASO Silver Stainless Steel Analog Men's Watch,272.0,999.0,72.8,384,https://www.snapdeal.com/product/piraso-silver-stainless-steel-analog/632644121297,0,Legit / Authorized,727.0
first copy watches,CHARLIEKEEN Black Metal Analog Men's Watch,476.0,1999.0,76.2,13,https://www.snapdeal.com/product/charliekeen-black-metal-analog-mens/646808612950,0,Legit / Authorized,1523.0
first copy watches,Shivark Black Silicon Analog Men's Watch,223.0,999.0,77.7,1068,https://www.snapdeal.com/product/shivark-black-silicon-analog-mens/676339723106,0,Legit / Authorized,776.0
first copy watches,Wristy Black Plastic Analog Men's Watch,419.0,1499.0,72.0,0,https://www.snapdeal.com/product/wristy-black-plastic-analog-mens/680353232713,0,Legit / Authorized,1080.0
first copy watches,RVINE Silver Stainless Steel Digital Men's Watch,238.0,799.0,70.2,26,https://www.snapdeal.com/product/rvine-silver-stainless-steel-digital/664041918980,0,Legit / Authorized,561.0
first copy watches,Hemt Gold Metal Analog Men's Watch,527.0,1899.0,72.2,28,https://www.snapdeal.com/product/hemt-hmgsq214gldgldnw-metal-analog-mens/640767459672,0,Legit / Authorized,1372.0
first copy watches,EMPERO Black Leather Analog Men's Watch,202.0,999.0,79.8,462,https://www.snapdeal.com/product/empero-stone-dial-slim-leather/670027897799,0,Legit / Authorized,797.0
first copy watches,DoubleRun Blue Leather Analog Men's Watch,647.0,1500.0,56.9,5,https://www.snapdeal.com/product/doublerun-blue-leather-analog-mens/628884770789,0,Legit / Authorized,853.0
first copy watches,Fadiso Fashion Multicolor Leather Analog Men's Watch,364.0,1299.0,72.0,274,https://www.snapdeal.com/product/fadiso-fashion-multicolor-leather-analog/669219360749,0,Legit / Authorized,935.0
first copy watches,SHMOFY LUXRY Black Stainless Steel Analog Men's Watch,288.0,1299.0,77.8,640,https://www.snapdeal.com/product/shmofy-luxry-black-stainless-steel/632968393449,0,Legit / Authorized,1011.0
first copy watches,Renaissance Traders - Black PU Digital Men's Watch,231.0,999.0,76.9,120,https://www.snapdeal.com/product/renaissance-traders-black-pu-digital/680155231781,0,Legit / Authorized,768.0
first copy watches,Metspot Black Stainless Steel Analog Men's Watch,419.0,1599.0,73.8,42,https://www.snapdeal.com/product/metspot-black-stainless-steel-analog/631050910574,0,Legit / Authorized,1180.0
first copy watches,PIRASO Silver Stainless Steel Analog Men's Watch,272.0,999.0,72.8,11,https://www.snapdeal.com/product/piraso-silver-stainless-steel-analog/633497857389,0,Legit / Authorized,727.0
first copy watches,Renaissance Traders - Black Metal Digital Men's Watch,378.0,999.0,62.2,468,https://www.snapdeal.com/product/renaissance-traders-black-metal-digital/682300675720,0,Legit / Authorized,621.0
first copy watches,EMPERO Silver Stainless Steel Analog Men's Watch,410.0,1299.0,68.4,44,https://www.snapdeal.com/product/empero-silver-stainless-steel-analog/679308706666,0,Legit / Authorized,889.0
first copy watches,Fadiso Fashion Green Silicon Analog Men's Watch,208.0,999.0,79.2,53,https://www.snapdeal.com/product/fadiso-fashion-green-silicon-analog/634560721475,0,Legit / Authorized,791.0
first copy watches,Shivark Silver Stainless Steel Analog Men's Watch,232.0,999.0,76.8,137,https://www.snapdeal.com/product/shivark-silver-stainless-steel-analog/659268386958,0,Legit / Authorized,767.0
first copy watches,HMXT Brown Leather Analog Men's Watch,292.0,999.0,70.8,128,https://www.snapdeal.com/product/hmxt-hmxt10-leather-analog-mens/642046912228,0,Legit / Authorized,707.0
first copy watches,Abrexo Black Metal Analog Men's Watch,288.0,1299.0,77.8,6,https://www.snapdeal.com/product/abrexo-black-metal-analog-mens/645182367479,0,Legit / Authorized,1011.0
first copy watches,MARKRIN Gold Stainless Steel Analog Men's Watch,380.0,1499.0,74.6,11,https://www.snapdeal.com/product/markrin-gold-stainless-steel-analog/676541799033,0,Legit / Authorized,1119.0
first copy watches,SKYLONA Black Metal Analog Men's Watch,358.0,999.0,64.2,4,https://www.snapdeal.com/product/skylona-black-metal-analog-mens/669489364924,0,Legit / Authorized,641.0
first copy watches,kriss collection Silver Stainless Steel Analog Men's Watch,523.0,2099.0,75.1,1,https://www.snapdeal.com/product/kriss-collection-silver-stainless-steel/638395295397,0,Legit / Authorized,1576.0
first copy watches,Shivark Silver Stainless Steel Analog Men's Watch,330.0,699.0,52.8,25,https://www.snapdeal.com/product/shivark-silver-stainless-steel-analog/685688134265,0,Legit / Authorized,369.0
first copy watches,Shivark Brown PU Analog Men's Watch,203.0,999.0,79.7,122,https://www.snapdeal.com/product/shivark-brown-pu-analog-mens/679678228569,0,Legit / Authorized,796.0
first copy watches,HMXT Silver Stainless Steel Analog Men's Watch,321.0,999.0,67.9,492,https://www.snapdeal.com/product/hmxt-silver-stainless-steel-analog/657944400288,0,Legit / Authorized,678.0
first copy watches,Shivark Black Silicon Analog Men's Watch,223.0,999.0,77.7,9,https://www.snapdeal.com/product/shivark-black-silicon-analog-mens/631418140121,0,Legit / Authorized,776.0
first copy watches,CHARLIEKEEN Silver Stainless Steel Analog Men's Watch,378.0,1599.0,76.4,24,https://www.snapdeal.com/product/charliekeen-silver-stainless-steel-analog/630721471682,0,Legit / Authorized,1221.0
first copy watches,Dezine Green Silicon Analog Men's Watch,272.0,1299.0,79.1,51,https://www.snapdeal.com/product/dezine-green-silicon-analog-mens/669355154495,0,Legit / Authorized,1027.0
first copy watches,Hemt Black Metal Analog Men's Watch,441.0,1999.0,77.9,160,https://www.snapdeal.com/product/hemt-black-metal-analog-mens/652185985776,0,Legit / Authorized,1558.0
first copy watches,Renaissance Traders - Black PU Digital Men's Watch,231.0,900.0,74.3,38,https://www.snapdeal.com/product/renaissance-traders-black-pu-digital/673778596501,0,Legit / Authorized,669.0
first copy watches,EMPERO - Brown Leather Analog Men's Watch,194.0,599.0,67.6,97,https://www.snapdeal.com/product/empero-brown-leather-analog-mens/675519139530,0,Legit / Authorized,405.0
